Name,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes,Author,Theme,image,360_image
Apple II - STB-80 User’s Manual,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple II - STB-80 User’s Manual,,,,,STB Systems,,STB Systems,English,1981,,,,,,,,,,,,2013.10.85,,Brad Feld,Rev 1.0,,,,
Apple II - Applesoft Tool Kit Instruction Manual,Printed Matter,Manual,Setup,"Apple Computer, Inc.",Apple II - Applesoft Tool Kit Instruction Manual,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1980,,030-0113-00,,,,,,,,,,2013.10.88,,Brad Feld,Black binder with photocopied pages.,,,,
Altair 8800 Theory of Operation Manual and Schematics,Printed Matter,Manual,Setup,MITS,Altair 8800 Theory of Operation Manual and Schematics,,,,"MITS, Inc.",,,MITS,English,1975,,,,,,,,,,,,2013.10.89,,Brad Feld,Blue binder with pages.,,,,
Executive’s Review & Guide to Smartware: For Personal Computer Success - Volume 10,Printed Matter,Periodical,Narrow Topic,PC,For Personal Computer Success - Volume 10,,,,,,,Smartware,English,1985,,,,,,,,,,,,2013.10.90,,Brad Feld,,,,,
"Filevision Magazine - Volume 1, Number 3, Fall 1985",Printed Matter,Periodical,Narrow Topic,Filevision,"Filevision Magazine - Volume 1, Number 3, Fall 1985",,,,,Filevision,,Telos Software Products,English,1985,,,,,,,,,,,,2013.10.91,,Brad Feld,,,,,
CompuServe - Intropak - An Introduction Subscription to the CompuServe Information Service,Printed Matter,Manual,Introductory,Software,CompuServe - Intropak - An Introduction Subscription to the CompuServe Information Service,,,,,CompuServe Incorporated,,CompuServe Incorporated,English,1986,,CS-1261(08/86),,,,,,,,,,2013.10.92,,Brad Feld,,,,,
IBM PC Compatible- 384K Multifunction Card (Manual),Printed Matter,Manual,User,IBM,IBM PC Compatible - 384K Multifunction Card (Manual),,,,,,,,English,,,,,,,,,,,,,2013.10.93,,Brad Feld,For use with MFPLUS Utility program.,,,,
Toshiba - Three In-One Printing,Printed Matter,Manual,User,Printer,Toshiba - Three In-One Printing,,,,,Toshiba America,,Toshiba America,English,,,72R120250 B,,,,,,,,,,2013.10.94,,Brad Feld,Printed in Japan.,,,,
Programma International - Software Documentation (Instruction Sheets),Printed Matter,Manual,Introductory,Software,Programma International - Software Documentation (Instruction Sheets),,,,,"Programma International, Inc.",,"Programma International, Inc.",English,1979,,,,,,,,,,,,2013.10.95,,Brad Feld,"Original unbound pages in legal folder. First sheet: “Program Addendum #1 - This addendum supplements Integer BASIC/Machine Language software documentation.” Followed by multiple sheets (“Programma Product Description”), 1-pages each: “T.I.E. Fighter Docking” (Craig Crossman, 1980), “Battlestar I” (Richard Kaplan, 1979), “Football” (Harry Tarnoff, 1979), and “Super Star Wars” (Bruce Henderson, 1979). Also includes an instruction sheet for Adventure International’s “The Sorcerer of Claymorgue Castle” (1984).",,,,
The MACazine - Premiere Issue - December 1984,Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.",The MACazine - Premiere Issue - December 1984,,,,,,,Icon Concepts Corporation,English,1984,,,,,,,,,,,,2013.10.96,,Brad Feld,,,,,
